15,-91,-3
27,-72,-53
51,-80,-18
62,-99,-20
59,-104,-38
-24,-75,-47
-24,-81,-41
-17,-83,-50
-17,-93,-53
-17,-82,-57
-17,-61,-22
-17,-75,-18
-16,-108,-30
-17,-100,-37
-15,-99,-21
-17,-106,-42
2,-63,-16
2,-79,-10
2,-64,-22
3,-67,-13
3,-101,-47
4,-80,-44
3,-92,-51
4,-85,-43
3,-80,-44
2,-91,-18
2,-114,-23
4,-111,-38
4,-109,-39
2,-102,-18
2,-105,-22
3,-101,-32
4,-106,-42
15,-70,-7
15,-83,-44
14,-68,-14
15,-81,-28
15,-81,-43
15,-81,6
14,-89,-7
15,-99,-8
14,-78,-7
13,-91,-3
14,-89,-14
14,-107,-25
15,-97,-26
15,-91,-40
15,-88,-29
16,-104,-15
16,-98,-21
15,-94,-32
16,-88,-39
29,-77,-12
29,-87,-6
29,-103,-13
30,-110,-24
28,-95,-14
29,-115,-16
28,-78,-45
27,-73,-38
28,-80,-51
28,-79,-43
30,-67,-30
28,-106,-43
28,-99,-47
29,-99,-36
27,-93,-47
51,-86,-17
49,-75,-49
48,-77,-53
51,-99,-22
48,-90,-53
49,-102,-36
49,-80,-44
62,-67,-34
60,-68,-45
