85,61,66
97,80,16
121,72,51
132,53,49
129,48,31
46,77,22
46,71,28
53,69,19
53,59,16
53,70,12
53,91,47
53,77,51
54,44,39
53,52,32
55,53,48
53,46,27
72,89,53
72,73,59
72,88,47
73,85,56
73,51,22
74,72,25
73,60,18
74,67,26
73,72,25
72,61,51
72,38,46
74,41,31
74,43,30
72,50,51
72,47,47
73,51,37
74,46,27
85,82,62
85,69,25
84,84,55
85,71,41
85,71,26
85,71,75
84,63,62
85,53,61
84,74,62
83,61,66
84,63,55
84,45,44
85,55,43
85,61,29
85,64,40
86,48,54
86,54,48
85,58,37
86,64,30
99,75,57
99,65,63
99,49,56
100,42,45
98,57,55
99,37,53
98,74,24
97,79,31
98,72,18
98,73,26
100,85,39
98,46,26
98,53,22
99,53,33
97,59,22
121,66,52
119,77,20
118,75,16
121,53,47
118,62,16
119,50,33
119,72,25
132,85,35
130,84,24
