5,-65,-6
-7,-46,-56
-31,-54,-21
-42,-73,-23
-39,-78,-41
44,-49,-50
44,-55,-44
37,-57,-53
37,-67,-56
37,-56,-60
37,-35,-25
37,-49,-21
36,-82,-33
37,-74,-40
35,-73,-24
37,-80,-45
18,-37,-19
18,-53,-13
18,-38,-25
17,-41,-16
17,-75,-50
16,-54,-47
17,-66,-54
16,-59,-46
17,-54,-47
18,-65,-21
18,-88,-26
16,-85,-41
16,-83,-42
18,-76,-21
18,-79,-25
17,-75,-35
16,-80,-45
5,-44,-10
5,-57,-47
6,-42,-17
5,-55,-31
5,-55,-46
5,-55,3
6,-63,-10
5,-73,-11
6,-52,-10
7,-65,-6
6,-63,-17
6,-81,-28
5,-71,-29
5,-65,-43
5,-62,-32
4,-78,-18
4,-72,-24
5,-68,-35
4,-62,-42
-9,-51,-15
-9,-61,-9
-9,-77,-16
-10,-84,-27
-8,-69,-17
-9,-89,-19
-8,-52,-48
-7,-47,-41
-8,-54,-54
-8,-53,-46
-10,-41,-33
-8,-80,-46
-8,-73,-50
-9,-73,-39
-7,-67,-50
-31,-60,-20
-29,-49,-52
-28,-51,-56
-31,-73,-25
-28,-64,-56
-29,-76,-39
-29,-54,-47
-42,-41,-37
-40,-42,-48
