,beta,p_perm,p_perm_fdr0.05,type,color
JAZF1,0.00021196878409532736,0.062,False,nosig,grey
PA2G4P4,0.00021195722670776156,0.2403,False,nosig,grey
COASY,0.00021192721914476163,0.1576,False,nosig,grey
PPP4R3A,0.00021187789289396804,0.1768,False,nosig,grey
UBE2E2,0.00021182152490020403,0.1723,False,nosig,grey
DHCR24,0.00021178537654617218,0.1416,False,nosig,grey
KLHL34,0.00021178014382148807,0.3907,False,nosig,grey
HMGCL,0.00021168338375120784,0.2051,False,nosig,grey
RNF212,0.00021168036022739897,0.4232,False,nosig,grey
TMCO6,0.00021166951819587084,0.3142,False,nosig,grey
ZNF529,0.00021166785054372588,0.1627,False,nosig,grey
ASF1A,0.00021166578241453178,0.1088,False,nosig,grey
YAP1,0.000211635927166779,0.1406,False,nosig,grey
HLA-DRB5,0.00021141806364369787,0.3334,False,nosig,grey
ARSJ,0.00021124736958573297,0.4975,False,nosig,grey
TYRP1,0.00021121131661575788,0.4755,False,nosig,grey
ZNF674,0.0002111959763884954,0.2997,False,nosig,grey
LOC101927974,0.00021113748174901651,0.3247,False,nosig,grey
XPNPEP1,0.00021102332456328382,0.2013,False,nosig,grey
DNAJC27,0.00021094954516204316,0.2382,False,nosig,grey
ZNF559,0.00021092207242016123,0.4369,False,nosig,grey
TGFBI,0.00021091340140505388,0.4743,False,nosig,grey
ZWILCH,0.00021089664577076205,0.6787,False,nosig,grey
LOC644936,0.00021082055922855655,0.1969,False,nosig,grey
TRPC1,0.00021076667444869428,0.11,False,nosig,grey
ACD,0.0002107529487057508,0.0735,False,nosig,grey
SF3B4,0.00021074535055284413,0.4847,False,nosig,grey
MICAL1,0.0002106662190528847,0.1588,False,nosig,grey
C9orf129,0.00021059997462173687,0.3233,False,nosig,grey
TSPYL4,0.00021050846162291295,0.4041,False,nosig,grey
ZIK1,0.00021047070524344162,0.3477,False,nosig,grey
SLC6A17,0.00021046072953695186,0.2913,False,nosig,grey
EEF2K,0.00021045260953954202,0.1164,False,nosig,grey
USP24,0.0002103998268459755,0.4418,False,nosig,grey
ERF,0.0002103372449897747,0.3522,False,nosig,grey
PERM1,0.00021031396621751477,0.456,False,nosig,grey
EXOC6B,0.00021022166338822442,0.1813,False,nosig,grey
PDE6B,0.00021020509075742123,0.1619,False,nosig,grey
MCPH1,0.000210198824570583,0.4232,False,nosig,grey
CABCOCO1,0.00021013126951663846,0.6016,False,nosig,grey
STK40,0.00021009096335712656,0.469,False,nosig,grey
WDR78,0.00021007532580304337,0.3444,False,nosig,grey
SLC2A14,0.00021005139573198331,0.3054,False,nosig,grey
BCAP31,0.00021001715179305347,0.3725,False,nosig,grey
MRPS11,0.00020982947985116732,0.3564,False,nosig,grey
PCDHAC2,0.00020982205185215554,0.4655,False,nosig,grey
TIA1,0.0002097244107592511,0.1533,False,nosig,grey
CCDC43,0.00020969891354573065,0.1488,False,nosig,grey
DOK1,0.00020964250897591134,0.2692,False,nosig,grey
CA5BP1,0.00020960613578514914,0.3644,False,nosig,grey
BRPF3,0.00020957354015102342,0.1728,False,nosig,grey
MANEAL,0.00020953024056670472,0.2026,False,nosig,grey
EYA3,0.00020950635883136556,0.2266,False,nosig,grey
KRT17,0.0002094580450104658,0.3787,False,nosig,grey
S100Z,0.00020937589789186072,0.3602,False,nosig,grey
DRD2,0.00020934473112397083,0.3951,False,nosig,grey
SOCS5,0.0002092792841997052,0.0,True,pos,#A80510
PURA,0.00020917908948558687,0.2805,False,nosig,grey
UHRF2,0.00020912712109583462,0.1747,False,nosig,grey
MON1A,0.0002090940156388867,0.2232,False,nosig,grey
NUFIP1,0.00020895274436467297,0.2696,False,nosig,grey
RNF41,0.00020891854187785343,0.095,False,nosig,grey
KIAA1468,0.00020882055895907705,0.1004,False,nosig,grey
ANKLE2,0.00020877962082719196,0.3364,False,nosig,grey
ABHD3,0.00020877607357729967,0.4349,False,nosig,grey
C14orf119,0.00020877493843500294,0.2265,False,nosig,grey
FAM49B,0.0002086095548784004,0.0264,False,nosig,grey
IBTK,0.00020853284179715126,0.0987,False,nosig,grey
C2CD2L,0.000208342002600542,0.0364,False,nosig,grey
LOC654780,0.00020825315866006378,0.4597,False,nosig,grey
BRICD5,0.00020824284626525888,0.3572,False,nosig,grey
NKD2,0.00020814660772256277,0.2614,False,nosig,grey
RUFY1,0.0002080378854660015,0.1428,False,nosig,grey
DDOST,0.00020798811517839017,0.1483,False,nosig,grey
ZSWIM4,0.0002079546672259465,0.306,False,nosig,grey
PLEKHH3,0.00020794796503632604,0.2493,False,nosig,grey
ZNF146,0.00020788641904462288,0.1862,False,nosig,grey
ADAP1,0.00020777979605996356,0.0163,False,nosig,grey
WDCP,0.0002075434989014603,0.3657,False,nosig,grey
STAG1,0.00020739862144814568,0.3939,False,nosig,grey
BATF3,0.00020738353486130336,0.5374,False,nosig,grey
PPP1R12A,0.0002073024347997405,0.0159,False,nosig,grey
PRRG2,0.00020727759334725828,0.4746,False,nosig,grey
TMC7,0.00020723048888405748,0.379,False,nosig,grey
NPFFR2,0.00020718044180489478,0.5188,False,nosig,grey
CMAS,0.0002071624957396208,0.0843,False,nosig,grey
PIK3IP1,0.00020713809923870864,0.0562,False,nosig,grey
DYNLT1,0.0002071235131234496,0.2466,False,nosig,grey
HIST1H2AE,0.0002071209278471664,0.5371,False,nosig,grey
ZNF44,0.0002070848662626128,0.3629,False,nosig,grey
NUDT22,0.00020706190624567906,0.076,False,nosig,grey
CCDC71L,0.00020704734172072442,0.5252,False,nosig,grey
MBNL3,0.00020703512260647922,0.4289,False,nosig,grey
SLC25A10,0.0002069078061702661,0.3477,False,nosig,grey
FOXP2,0.00020690485274309326,0.5957,False,nosig,grey
LRRC58,0.00020687605360095073,0.2632,False,nosig,grey
DOCK11,0.0002068756999700018,0.4591,False,nosig,grey
H1FNT,0.00020687300071391807,0.2957,False,nosig,grey
TIMM17B,0.00020682322434706807,0.2907,False,nosig,grey
ABHD12B,0.0002068194695620974,0.402,False,nosig,grey
TFCP2,0.00020681360815668994,0.2023,False,nosig,grey
PTGES,0.00020671432353316465,0.2532,False,nosig,grey
GNAZ,0.00020669294711447056,0.4396,False,nosig,grey
USH1C,0.00020667306517845358,0.1592,False,nosig,grey
TMEM191A,0.00020663419977602298,0.3496,False,nosig,grey
RNF170,0.0002064699707384272,0.2576,False,nosig,grey
CREBBP,0.0002063136499043192,0.1515,False,nosig,grey
AURKAIP1,0.00020627529736673382,0.0412,False,nosig,grey
MIR29B2CHG,0.0002060961147606571,0.4566,False,nosig,grey
TIMELESS,0.00020599944421301975,0.1227,False,nosig,grey
ZNF667-AS1,0.0002059542303531781,0.1061,False,nosig,grey
MAPK14,0.00020591027666203571,0.3071,False,nosig,grey
CRIP2,0.00020579572522374403,0.2898,False,nosig,grey
AVL9,0.0002057472388008807,0.3068,False,nosig,grey
SHC3,0.00020574087730811715,0.2441,False,nosig,grey
EFL1,0.0002057037624644127,0.3249,False,nosig,grey
TNS3,0.00020569750176344,0.3117,False,nosig,grey
ACTN4,0.00020569421764030348,0.2367,False,nosig,grey
GAST,0.00020568286536455218,0.3375,False,nosig,grey
SIDT1,0.00020567635304079504,0.1898,False,nosig,grey
TUSC3,0.00020561783882545864,0.529,False,nosig,grey
CEP89,0.0002055543300354052,0.1871,False,nosig,grey
SYT4,0.00020548153854262486,0.1371,False,nosig,grey
ABR,0.0002054595304711506,0.0053,False,nosig,grey
USP28,0.00020540335160648644,0.4835,False,nosig,grey
ASB8,0.0002054028065293312,0.1634,False,nosig,grey
NES,0.00020534657163512242,0.549,False,nosig,grey
CARS2,0.00020530287379687254,0.0831,False,nosig,grey
EPHB3,0.00020525841743549998,0.3772,False,nosig,grey
CABP2,0.0002051933942336114,0.103,False,nosig,grey
CDC27,0.00020514338187061605,0.3165,False,nosig,grey
MROH1,0.000205078805349632,0.3314,False,nosig,grey
POGZ,0.00020507149993275457,0.093,False,nosig,grey
TP73-AS1,0.0002049231681792125,0.1805,False,nosig,grey
TMC4,0.00020486927546476706,0.4766,False,nosig,grey
FGF3,0.00020468892671562586,0.2304,False,nosig,grey
WDR97,0.0002046481989845123,0.183,False,nosig,grey
KAT8,0.00020464174470245488,0.1822,False,nosig,grey
CORO1A,0.00020455832451675123,0.1461,False,nosig,grey
DCTN4,0.00020449701476286372,0.4769,False,nosig,grey
PLD6,0.00020447077597048988,0.5828,False,nosig,grey
OTUD1,0.00020446841104565568,0.1831,False,nosig,grey
CSDE1,0.00020432059926601013,0.1955,False,nosig,grey
SERAC1,0.00020421342567852733,0.2878,False,nosig,grey
ATF1,0.00020418303553525682,0.5347,False,nosig,grey
PEX11B,0.00020408495403086805,0.0689,False,nosig,grey
TIMM21,0.0002036264353379456,0.1338,False,nosig,grey
NALCN,0.00020362114562661585,0.1541,False,nosig,grey
RRP12,0.000203592222101662,0.3428,False,nosig,grey
C3orf62,0.00020358964657800252,0.2646,False,nosig,grey
PPP2R3A,0.00020356762171276976,0.3915,False,nosig,grey
ZNF25,0.00020352354951819472,0.1303,False,nosig,grey
MRI1,0.00020346981839370736,0.1478,False,nosig,grey
ZNF26,0.00020341426128618476,0.3653,False,nosig,grey
PGBD1,0.0002034004818679876,0.4744,False,nosig,grey
STBD1,0.00020336135150169198,0.5552,False,nosig,grey
MYL12B,0.00020330776831025383,0.3317,False,nosig,grey
CALN1,0.00020327531317484385,0.2551,False,nosig,grey
PDCD5,0.00020318255963344768,0.3216,False,nosig,grey
C11orf24,0.00020309444599618344,0.1982,False,nosig,grey
C3orf35,0.00020294045051330248,0.3795,False,nosig,grey
FOXD3,0.00020288406661264006,0.0955,False,nosig,grey
PIGQ,0.00020287553374338506,0.1342,False,nosig,grey
DESI2,0.00020283075144335064,0.0347,False,nosig,grey
LCA5,0.00020277338379296868,0.2438,False,nosig,grey
RPS23,0.00020274281443082078,0.1574,False,nosig,grey
TMEM63C,0.0002027143324249454,0.1022,False,nosig,grey
GTF2E1,0.00020270493768964344,0.4392,False,nosig,grey
NWD1,0.0002026433589207277,0.47,False,nosig,grey
REL,0.00020261418985157245,0.2603,False,nosig,grey
IER5,0.0002025056679074435,0.3724,False,nosig,grey
ZNF672,0.00020249071304640203,0.3065,False,nosig,grey
HNRNPA2B1,0.00020248357920484638,0.1786,False,nosig,grey
ARVCF,0.0002024503690670987,0.3464,False,nosig,grey
PARD3B,0.00020244032633910856,0.5351,False,nosig,grey
TMF1,0.0002023653530502718,0.455,False,nosig,grey
CSRP2,0.00020231249771551364,0.6378,False,nosig,grey
SLC39A6,0.00020222143840049715,0.3256,False,nosig,grey
GGTLC2,0.00020217211962202924,0.3774,False,nosig,grey
TMEM192,0.0002020949642077073,0.4321,False,nosig,grey
MBD5,0.00020200278024378186,0.3282,False,nosig,grey
KCNQ3,0.00020197217880763046,0.3494,False,nosig,grey
GRP,0.00020195988072561295,0.3963,False,nosig,grey
EML1,0.00020189703800444641,0.4344,False,nosig,grey
NSMCE1,0.00020181254585574285,0.3986,False,nosig,grey
CCDC170,0.0002017229028139438,0.5095,False,nosig,grey
CNOT6L,0.00020167967066351563,0.0911,False,nosig,grey
FKBP5,0.00020164642706462969,0.4151,False,nosig,grey
SPAG8,0.0002016044863678359,0.4128,False,nosig,grey
CD53,0.00020158083358910232,0.307,False,nosig,grey
DDX27,0.0002015517248993813,0.1577,False,nosig,grey
CNR1,0.00020147793807864366,0.563,False,nosig,grey
XXYLT1,0.0002014575137906523,0.0932,False,nosig,grey
PLCL2,0.0002014532400127311,0.0909,False,nosig,grey
ANKRD11,0.00020144832558415424,0.2147,False,nosig,grey
ABCD4,0.00020137393679239,0.1868,False,nosig,grey
GSTZ1,0.00020135630620953597,0.3383,False,nosig,grey
MIB1,0.00020132910092977065,0.278,False,nosig,grey
CLK2P1,0.00020131498889018514,0.2152,False,nosig,grey
LINC01783,0.0002012859973008216,0.5043,False,nosig,grey
THOC6,0.0002012588443855569,0.4217,False,nosig,grey
HECTD4,0.0002011831069986759,0.17,False,nosig,grey
PAXX,0.0002011732701465726,0.1496,False,nosig,grey
MTX1,0.00020114166782406236,0.124,False,nosig,grey
NAA11,0.00020112754503380718,0.2791,False,nosig,grey
VPS39,0.00020110075399945942,0.505,False,nosig,grey
DCDC1,0.00020106058401722667,0.6235,False,nosig,grey
KCNH2,0.00020106006866291257,0.1977,False,nosig,grey
CDC23,0.00020097977504442634,0.0806,False,nosig,grey
LINC00266-1,0.00020097347191275628,0.2375,False,nosig,grey
MAGEH1,0.00020096770874226833,0.1084,False,nosig,grey
POC1B-AS1,0.00020091529136507876,0.3057,False,nosig,grey
NKX2-8,0.00020090552451218596,0.2699,False,nosig,grey
KRTAP5-AS1,0.0002009055033576024,0.0586,False,nosig,grey
KRTAP2-1,0.0002008945598498858,0.3955,False,nosig,grey
NPTXR,0.00020086502433707293,0.0604,False,nosig,grey
MFN1,0.00020079199522062127,0.174,False,nosig,grey
MAGT1,0.00020073117681152115,0.0495,False,nosig,grey
MVK,0.00020065885550122185,0.1113,False,nosig,grey
ADGRL1,0.0002005118748457709,0.0489,False,nosig,grey
LYPLA1,0.00020044810744901693,0.3901,False,nosig,grey
RNF139,0.0002002930953429681,0.1609,False,nosig,grey
CSTB,0.00020024553160882615,0.1747,False,nosig,grey
CCNL1,0.00020022584921576916,0.3647,False,nosig,grey
TFPT,0.00020018366802911653,0.0456,False,nosig,grey
PSIP1,0.00020016209987669,0.1195,False,nosig,grey
GUK1,0.0002001257979248037,0.0365,False,nosig,grey
GPR12,0.00020002216243943316,0.1615,False,nosig,grey
DUSP8,0.00019992837371641506,0.012,False,nosig,grey
RARG,0.0001998708680858004,0.3499,False,nosig,grey
MSTO2P,0.00019985712693276994,0.2995,False,nosig,grey
LCLAT1,0.00019969643017470558,0.1914,False,nosig,grey
CD7,0.00019969062527004403,0.4262,False,nosig,grey
GNAI1,0.00019952477555558126,0.2235,False,nosig,grey
HCRTR1,0.00019947191526355614,0.2908,False,nosig,grey
TLCD1,0.0001994473528043386,0.2124,False,nosig,grey
CUL1,0.00019942800648806226,0.3079,False,nosig,grey
CYTH3,0.00019930685967815286,0.4257,False,nosig,grey
PRKRA,0.00019928892595992738,0.3233,False,nosig,grey
FXYD6,0.000199287709144011,0.1656,False,nosig,grey
FGF12,0.00019927748307606608,0.2325,False,nosig,grey
ARRDC3,0.00019925409103810503,0.2843,False,nosig,grey
NAT16,0.00019922360391154642,0.2783,False,nosig,grey
ADRA1A,0.00019918514346461538,0.4668,False,nosig,grey
MECOM,0.00019911416785342088,0.3672,False,nosig,grey
LSR,0.0001988549376114176,0.339,False,nosig,grey
FKBP3,0.00019880701028563748,0.1224,False,nosig,grey
ZSCAN21,0.00019879947555204546,0.3966,False,nosig,grey
FAM186B,0.00019869855669838178,0.5894,False,nosig,grey
MMP19,0.00019863307655218035,0.311,False,nosig,grey
NRAP,0.00019861447934748405,0.5417,False,nosig,grey
AKAP13,0.00019860529049052825,0.359,False,nosig,grey
ACTA1,0.00019855367155102984,0.5741,False,nosig,grey
MARK3,0.00019850476388684008,0.5417,False,nosig,grey
ZNF250,0.00019848080751646918,0.1133,False,nosig,grey
PLEKHA8P1,0.000198425239131993,0.617,False,nosig,grey
FOXK2,0.00019841723028473886,0.2088,False,nosig,grey
OGT,0.0001984130033059765,0.424,False,nosig,grey
MXD3,0.0001983861379051829,0.2585,False,nosig,grey
CSNK1G3,0.00019835273271473565,0.1207,False,nosig,grey
CRNKL1,0.00019835089479154226,0.3893,False,nosig,grey
TRAPPC10,0.0001981738900469836,0.3043,False,nosig,grey
MAPKAPK5,0.0001980144148200236,0.4853,False,nosig,grey
EML3,0.0001979844392810291,0.0237,False,nosig,grey
TTC39B,0.00019794016783769325,0.3767,False,nosig,grey
HGH1,0.0001977126942671878,0.4983,False,nosig,grey
HTR2A,0.0001977094493049906,0.5914,False,nosig,grey
TMEM130,0.0001976675522970563,0.0536,False,nosig,grey
SYT15,0.00019762503034271187,0.4796,False,nosig,grey
MARK1,0.00019754496824188298,0.3539,False,nosig,grey
RTF1,0.00019749882041170442,0.1482,False,nosig,grey
POLR1D,0.00019742000853275034,0.0419,False,nosig,grey
THOC1,0.00019736809624569106,0.1763,False,nosig,grey
POR,0.00019734844731264948,0.2471,False,nosig,grey
CRB2,0.00019727903408762613,0.3688,False,nosig,grey
PHB,0.00019724361625870113,0.1318,False,nosig,grey
YIPF1,0.00019723921470359186,0.4056,False,nosig,grey
SEPT11,0.00019723344511888188,0.1478,False,nosig,grey
DPYD,0.0001971931829035693,0.5237,False,nosig,grey
LOC100132249,0.00019709692582498705,0.3956,False,nosig,grey
TESK1,0.00019704658484578704,0.0523,False,nosig,grey
UIMC1,0.00019667250294649172,0.4073,False,nosig,grey
PEX1,0.0001966648005677121,0.1859,False,nosig,grey
GFM2,0.0001966370802807927,0.5227,False,nosig,grey
SMS,0.00019641819328445603,0.166,False,nosig,grey
KIAA0319,0.0001963739698493274,0.491,False,nosig,grey
SATB2,0.00019634804921055663,0.7277,False,nosig,grey
C9orf131,0.0001962748590300318,0.3518,False,nosig,grey
KRTAP6-3,0.00019625561208102155,0.2617,False,nosig,grey
ZCCHC11,0.00019623140386369831,0.1169,False,nosig,grey
GALNT6,0.00019621033641547043,0.3705,False,nosig,grey
CACNB3,0.00019618473982226488,0.1378,False,nosig,grey
PDZD11,0.0001960705449653484,0.067,False,nosig,grey
MUL1,0.000196036707423101,0.353,False,nosig,grey
GDAP2,0.00019587360783516184,0.5897,False,nosig,grey
LOC100288203,0.00019580868222571177,0.3002,False,nosig,grey
RINT1,0.0001958083219315118,0.2823,False,nosig,grey
RBM23,0.00019573480877693508,0.1684,False,nosig,grey
ATG10,0.00019565112284138168,0.1226,False,nosig,grey
PIP5K1C,0.00019556256286159675,0.1038,False,nosig,grey
VPS36,0.00019555721042908105,0.3429,False,nosig,grey
SMIM10L2A,0.00019555524486057892,0.1279,False,nosig,grey
SAYSD1,0.0001955227512430528,0.4496,False,nosig,grey
RNASE13,0.0001954593194502486,0.3553,False,nosig,grey
EVI5L,0.00019543765710398965,0.471,False,nosig,grey
ANKRD36BP2,0.0001954355112919853,0.117,False,nosig,grey
TSHZ2,0.00019542691456326579,0.4876,False,nosig,grey
CLN3,0.00019540668183803055,0.1312,False,nosig,grey
FNIP2,0.00019529992974795437,0.2695,False,nosig,grey
ZNF876P,0.00019527758957199164,0.426,False,nosig,grey
ZNF396,0.00019522918229894465,0.3336,False,nosig,grey
PALM,0.0001952186558164928,0.0234,False,nosig,grey
KIAA0368,0.000195045792295823,0.1047,False,nosig,grey
HSPB6,0.00019498781046751277,0.5607,False,nosig,grey
DUS4L,0.00019498312949229736,0.4166,False,nosig,grey
SMPD1,0.00019494415480368835,0.1378,False,nosig,grey
SPANXA2-OT1,0.00019467372175088318,0.343,False,nosig,grey
CAP2,0.00019466534101603215,0.2092,False,nosig,grey
CACNB1,0.00019466216726152444,0.1668,False,nosig,grey
CD59,0.00019439775421968325,0.1542,False,nosig,grey
COMMD6,0.0001943509613065374,0.0826,False,nosig,grey
GMNN,0.0001943392727070782,0.4191,False,nosig,grey
RNF11,0.00019430712209078289,0.103,False,nosig,grey
EMSY,0.0001941345065227835,0.3429,False,nosig,grey
TGM2,0.00019411208670175182,0.4345,False,nosig,grey
HLA-H,0.00019410921452886316,0.1697,False,nosig,grey
DGAT1,0.00019406022094208496,0.3061,False,nosig,grey
CA7,0.00019404705002341448,0.6536,False,nosig,grey
ZNF394,0.0001940355037235632,0.3919,False,nosig,grey
CDH20,0.000194010793256088,0.2874,False,nosig,grey
HIST1H4I,0.0001939728214164364,0.1965,False,nosig,grey
MKLN1,0.00019394024378986812,0.3091,False,nosig,grey
SP140L,0.00019390110391969277,0.5526,False,nosig,grey
ETFBKMT,0.00019389473969956393,0.6125,False,nosig,grey
C6orf136,0.00019386823949906176,0.0799,False,nosig,grey
ZNF230,0.00019383985953700105,0.3518,False,nosig,grey
RANBP2,0.0001938201487720142,0.1104,False,nosig,grey
RETREG2,0.00019367854641926915,0.1002,False,nosig,grey
METTL2A,0.00019365421733385328,0.365,False,nosig,grey
C14orf132,0.00019352553591271267,0.2499,False,nosig,grey
PRR14,0.00019343284426359727,0.0738,False,nosig,grey
PYY2,0.00019338768968211082,0.0458,False,nosig,grey
ASAP2,0.00019337038479335476,0.1864,False,nosig,grey
SRPX,0.00019335445148954317,0.2101,False,nosig,grey
GEM,0.00019314759178012036,0.4122,False,nosig,grey
BCAT2,0.0001930831994718044,0.3788,False,nosig,grey
CDC25B,0.00019306367466074057,0.3383,False,nosig,grey
PRR15,0.00019302844251107697,0.4098,False,nosig,grey
THAP2,0.00019298210545581201,0.4605,False,nosig,grey
MYPOP,0.0001929528326803715,0.2632,False,nosig,grey
RBCK1,0.00019292783870455542,0.1293,False,nosig,grey
ARHGAP23,0.0001929066591476553,0.3222,False,nosig,grey
TMEM115,0.00019289934557889543,0.1475,False,nosig,grey
LNPEP,0.00019288401741439517,0.2365,False,nosig,grey
TFEB,0.00019284206676685776,0.2131,False,nosig,grey
PRSS27,0.0001927449047075506,0.3239,False,nosig,grey
LDLRAD4,0.00019271193436331218,0.4634,False,nosig,grey
DNAJC13,0.00019269316572303202,0.2125,False,nosig,grey
TRABD2A,0.0001926680783852175,0.5925,False,nosig,grey
CYP20A1,0.0001925996565115351,0.6422,False,nosig,grey
SC5D,0.00019255102810911338,0.243,False,nosig,grey
FBXL5,0.00019246161722117277,0.3137,False,nosig,grey
PLEKHA1,0.00019245123243944926,0.011,False,nosig,grey
PQLC3,0.00019238881718928837,0.3583,False,nosig,grey
NUTM2B-AS1,0.00019236520468855032,0.0855,False,nosig,grey
MASTL,0.00019219793581896075,0.3974,False,nosig,grey
GALNT15,0.00019217475160314832,0.2154,False,nosig,grey
GAPDHS,0.00019205804321438628,0.5529,False,nosig,grey
TM9SF3,0.0001919786050956543,0.2996,False,nosig,grey
MAFG-AS1,0.0001919750908154698,0.0827,False,nosig,grey
DLG1,0.00019184963555431722,0.4464,False,nosig,grey
TBC1D3P5,0.00019178151097602728,0.2459,False,nosig,grey
ID4,0.00019164888711075976,0.2507,False,nosig,grey
RDH14,0.00019160487133461655,0.2677,False,nosig,grey
FBXO46,0.00019159557879109998,0.4623,False,nosig,grey
TP53I11,0.00019154048504989627,0.0661,False,nosig,grey
VPS18,0.00019146395808746438,0.3384,False,nosig,grey
NR2F1-AS1,0.00019145871096869994,0.5892,False,nosig,grey
SNHG20,0.00019136430606230055,0.2093,False,nosig,grey
TRIP12,0.00019124324533361197,0.3013,False,nosig,grey
PDRG1,0.00019121698011576353,0.2364,False,nosig,grey
HSF1,0.0001911771341624831,0.1405,False,nosig,grey
BCL3,0.0001911383493295422,0.2894,False,nosig,grey
DBNL,0.0001911172256431683,0.3206,False,nosig,grey
UBB,0.0001911003902194158,0.1236,False,nosig,grey
CSE1L-AS1,0.00019107920826116144,0.4303,False,nosig,grey
MS4A15,0.00019105659713557956,0.298,False,nosig,grey
NAV3,0.00019101571883198875,0.2382,False,nosig,grey
TSPYL1,0.0001909678288814956,0.195,False,nosig,grey
TAF7,0.00019088602134473086,0.2844,False,nosig,grey
TSHZ3,0.00019086903069922753,0.5111,False,nosig,grey
GPANK1,0.00019086393065299574,0.3366,False,nosig,grey
BID,0.0001908280653248838,0.5369,False,nosig,grey
TM6SF1,0.00019077782378894336,0.4923,False,nosig,grey
ZBTB43,0.00019077529122147208,0.5138,False,nosig,grey
DDB2,0.00019074569102061023,0.1947,False,nosig,grey
AKR1C3,0.00019068912827382913,0.3479,False,nosig,grey
SCAMP4,0.00019064024051122872,0.4206,False,nosig,grey
HRH2,0.00019054492301812898,0.3814,False,nosig,grey
TMPRSS6,0.00019053785161050627,0.3667,False,nosig,grey
IL21R,0.0001904552531951061,0.0495,False,nosig,grey
C19orf70,0.00019042582391675314,0.0752,False,nosig,grey
STAG3,0.00019041869862424855,0.4414,False,nosig,grey
COL7A1,0.00019022249724915075,0.274,False,nosig,grey
ILDR2,0.00019000973974295148,0.5164,False,nosig,grey
FAM216A,0.0001900076128054908,0.2363,False,nosig,grey
DHDDS,0.00018991683561595465,0.2247,False,nosig,grey
PCGF3,0.00018989260496994682,0.1475,False,nosig,grey
FAM201A,0.00018987015014116835,0.355,False,nosig,grey
FCGR3A,0.0001898537000907582,0.4815,False,nosig,grey
MAK16,0.0001897522612646185,0.411,False,nosig,grey
TIMM9,0.0001897482405881474,0.1459,False,nosig,grey
CEP57,0.00018973528521656026,0.1197,False,nosig,grey
C17orf58,0.00018967907675890877,0.2513,False,nosig,grey
HIST1H3G,0.00018957903738097442,0.293,False,nosig,grey
HRC,0.00018956629414045365,0.5012,False,nosig,grey
DENND1A,0.00018952694179159152,0.0924,False,nosig,grey
MUC12,0.00018951908488504493,0.4421,False,nosig,grey
ECHDC2,0.0001894910618248043,0.225,False,nosig,grey
ZNF474,0.00018939657276617502,0.6333,False,nosig,grey
RTRAF,0.00018936773548481754,0.2762,False,nosig,grey
GTPBP2,0.0001892147080684384,0.2268,False,nosig,grey
SS18L1,0.00018917086155335934,0.2101,False,nosig,grey
SSTR4,0.00018907359415642032,0.2796,False,nosig,grey
PMVK,0.00018901123109836033,0.1254,False,nosig,grey
DNAJB5,0.00018899679050921059,0.4658,False,nosig,grey
TMEM245,0.00018896494820791829,0.1923,False,nosig,grey
NAP1L3,0.0001889163140065297,0.1514,False,nosig,grey
ZNF691,0.00018890471014424502,0.339,False,nosig,grey
ROBO3,0.00018873476949957043,0.3926,False,nosig,grey
DPH3P1,0.00018864404067383262,0.2872,False,nosig,grey
GLRA3,0.00018862575058858758,0.6512,False,nosig,grey
MKNK2,0.00018862253116773385,0.0536,False,nosig,grey
OXLD1,0.00018861826379428453,0.0902,False,nosig,grey
GLO1,0.00018861369914883376,0.3729,False,nosig,grey
ALDOC,0.0001885596975508862,0.4711,False,nosig,grey
CTRC,0.0001884195642863672,0.1596,False,nosig,grey
FAM225B,0.00018838552265659298,0.5137,False,nosig,grey
RPL26L1,0.00018837679734204626,0.0649,False,nosig,grey
NPRL3,0.00018835619473502144,0.1855,False,nosig,grey
FOXG1,0.00018831778669239132,0.369,False,nosig,grey
SLC35C1,0.00018828043718401686,0.2392,False,nosig,grey
AZI2,0.00018813479570945952,0.2356,False,nosig,grey
CRLS1,0.00018809133221367376,0.4726,False,nosig,grey
TUBG1,0.00018808167999947756,0.1396,False,nosig,grey
COMMD1,0.00018804719910304918,0.1156,False,nosig,grey
LRRC14,0.0001880003171535579,0.1874,False,nosig,grey
BPTF,0.00018794458823547436,0.3093,False,nosig,grey
LOC728392,0.00018792980635079165,0.173,False,nosig,grey
SMAP2,0.00018791131934699356,0.3018,False,nosig,grey
CXorf57,0.00018790731803262353,0.3201,False,nosig,grey
PHF1,0.00018790517609943615,0.1611,False,nosig,grey
MIB2,0.00018785117456375963,0.1605,False,nosig,grey
MALL,0.00018777280197094314,0.3616,False,nosig,grey
IFT122,0.00018767852977009684,0.2988,False,nosig,grey
NRXN1,0.0001875575539822421,0.1781,False,nosig,grey
GART,0.00018747807931397052,0.5374,False,nosig,grey
CDK11B,0.00018742291526726898,0.2014,False,nosig,grey
NIFK,0.00018739196492096618,0.2399,False,nosig,grey
PABPC1L2B,0.00018732098591516612,0.3014,False,nosig,grey
OR13H1,0.00018719625770709068,0.4016,False,nosig,grey
CLEC12A,0.0001871852648598096,0.4072,False,nosig,grey
PIK3CD,0.00018718108145813635,0.454,False,nosig,grey
TPGS1,0.00018716510698240575,0.3759,False,nosig,grey
ITPKB,0.00018714265885770568,0.3526,False,nosig,grey
NISCH,0.00018711439093126574,0.3137,False,nosig,grey
MPV17,0.00018704941582502226,0.1667,False,nosig,grey
REXO4,0.00018703359781045215,0.3731,False,nosig,grey
