"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Pax2",0.000125248802423581,4.34250565225781e-06,116,137,2.63905732961526,0,4.01514791235567e-118,2.63905732961526,14,95,138,20.5803663305207,16.8546103568919,24.4835392552746,TRUE,TRUE,TRUE,FALSE,TRUE
"1810041L15Rik",0.000119017966768559,1.47474629776148e-06,50,45,2.56494935746154,0,7.78129923273665e-56,2.56494935746154,13,37,64,8.87084755625892,6.5644271916316,11.3546848720114,TRUE,TRUE,TRUE,FALSE,TRUE
"Foxp2",0.000122546294279476,2.32697270999614e-06,69,152,2.56494935746154,0,3.3619983764239e-57,2.56494935746154,13,53,86,12.2417696276373,9.40309840963445,15.2578577967653,TRUE,TRUE,TRUE,FALSE,TRUE
"Pcdh7",0.000236753290305677,1.30507315251254e-05,140,535,3.2188758248682,0.693147180559945,9.51398474536394e-88,2.52572864430826,12.5,117,164,24.838373157525,20.7577832816459,29.0963799845292,TRUE,TRUE,TRUE,FALSE,TRUE
"AF529169",0.000113921177379913,2.54611323350058e-06,54,62,2.484906649788,0,2.34397444857324e-56,2.484906649788,12,40,69,9.58051536075963,7.09667804500713,12.2417696276373,TRUE,TRUE,TRUE,FALSE,TRUE
"Basp1",0.000225354872152838,1.15994326250482e-05,165,294,3.17805383034795,0.693147180559945,7.22587932918668e-146,2.484906649788,12,140,191,29.2737969356544,24.838373157525,33.8866376649091,TRUE,TRUE,TRUE,FALSE,TRUE
"Meis2",0.000113571511091703,5.54731220185257e-07,83,24,2.484906649788,0,1.38685727050954e-113,2.484906649788,12,66,101,14.7256069433898,11.7095187742618,17.919112063643,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem179",0.000108310791973799,1.06252613774604e-06,58,42,2.484906649788,0,5.99699825104807e-68,2.484906649788,12,44,73,10.2901831652603,7.80634584950785,12.951437432138,TRUE,TRUE,TRUE,FALSE,TRUE
"A730017C20Rik",9.99285012401747e-05,3.0479878134697e-06,63,91,2.39789527279837,0,4.93589490848251e-61,2.39789527279837,11,48,79,11.1772679208862,8.51601365400856,14.0159391388891,TRUE,TRUE,TRUE,FALSE,TRUE
"AI593442",0.000205841304406114,7.76791003766886e-06,97,344,3.09104245335832,0.693147180559945,7.00363666890694e-64,2.39789527279837,11,78,117,17.2094442591423,13.8385221877639,20.7577832816459,TRUE,TRUE,TRUE,FALSE,TRUE
"Arg1",9.7998946349345e-05,1.05866839868777e-06,50,34,2.39789527279837,0,1.29674510958814e-59,2.39789527279837,11,37,64,8.87084755625892,6.5644271916316,11.3546848720114,TRUE,TRUE,TRUE,FALSE,TRUE
"Scn3a",9.62982768122271e-05,2.58960947317638e-06,54,75,2.39789527279837,0,3.24894036514137e-53,2.39789527279837,11,40,69,9.58051536075963,7.09667804500713,12.2417696276373,TRUE,TRUE,TRUE,FALSE,TRUE
"Eomes",0.000628912068253275,5.12047070663837e-05,283,1065,4.15888308335967,1.79175946922805,6.95342079610973e-177,2.36712361413162,10.6666666666667,251,316,50.2089971684255,44.5316547324198,56.0637565555563,TRUE,TRUE,TRUE,FALSE,TRUE
"Nsg2",0.000503705934017467,3.5074008776071e-05,290,976,3.93182563272433,1.6094379124341,1.88463992654969e-192,2.32238772029023,10.2,257,324,51.4509158263017,45.5961564391708,57.4830921645578,TRUE,TRUE,TRUE,FALSE,TRUE
"Lmx1a",9.41227876419214e-05,7.34535046314164e-08,43,8,2.30258509299405,0,1.26433981808637e-62,2.30258509299405,10,31,56,7.62892889838267,5.49992548488053,9.93534926300999,TRUE,TRUE,TRUE,FALSE,TRUE
"Mgat5",0.000286843595427948,2.38104006173678e-05,132,756,3.40119738166216,1.09861228866811,2.42200452554988e-64,2.30258509299405,10,110,155,23.4190375485235,19.5158646237696,27.4996274244026,TRUE,TRUE,TRUE,FALSE,TRUE
"Nrg1",9.23563968253275e-05,9.1906660285604e-08,50,4,2.30258509299405,0,2.18770955251925e-77,2.30258509299405,10,37,64,8.87084755625892,6.5644271916316,11.3546848720114,TRUE,TRUE,TRUE,FALSE,TRUE
"Rbms3",0.000176555552576419,5.9930423769587e-06,165,229,2.94443897916644,0.693147180559945,4.69542715889908e-159,2.25129179860649,9.5,140,191,29.2737969356544,24.838373157525,33.8866376649091,TRUE,TRUE,TRUE,FALSE,TRUE
"Timp2",0.000355306527724891,2.86817959209957e-05,177,931,3.61091791264422,1.38629436111989,8.16833746774963e-91,2.22462355152433,9.25,151,204,31.4028003491566,26.7899596199019,36.1930580295364,TRUE,TRUE,TRUE,FALSE,TRUE
"Scg2",0.00197700239174672,0.000212548260525241,1240,4873,5.29330482472449,3.09104245335832,0,2.20226237136618,9.04545454545454,1172,1309,219.997019395221,207.932666718709,232.238789022858,TRUE,TRUE,TRUE,FALSE,TRUE
"Glra2",7.96247847598253e-05,1.4617298166731e-06,47,34,2.19722457733622,0,2.25822293219521e-55,2.19722457733622,9,34,61,8.33859670288338,6.03217633825606,10.8224340186359,TRUE,TRUE,TRUE,FALSE,TRUE
"Hapln1",8.35129572052402e-05,4.31882200308761e-07,85,17,2.19722457733622,0,1.61641006728402e-121,2.19722457733622,9,67,104,15.0804408456402,11.8869357253869,18.4513629170185,TRUE,TRUE,TRUE,FALSE,TRUE
"Hs3st2",7.87230981659389e-05,3.03741480509456e-07,40,8,2.19722457733622,0,6.33887891610103e-58,2.19722457733622,9,28,53,7.09667804500713,4.96767463150499,9.40309840963445,TRUE,TRUE,TRUE,FALSE,TRUE
"Hs3st4",7.58710508296943e-05,2.34279206483983e-07,40,7,2.19722457733622,0,1.08049249539466e-58,2.19722457733622,9,28,53,7.09667804500713,4.96767463150499,9.40309840963445,TRUE,TRUE,TRUE,FALSE,TRUE
"Kcnip2",7.5647346419214e-05,1.18389133539174e-06,47,30,2.19722457733622,0,6.88893399815111e-57,2.19722457733622,9,34,61,8.33859670288338,6.03217633825606,10.8224340186359,TRUE,TRUE,TRUE,FALSE,TRUE
"Lrrtm1",8.37689559606987e-05,3.89222499201081e-06,73,99,2.19722457733622,0,6.84753587208284e-72,2.19722457733622,9,57,90,12.951437432138,10.1127662141352,15.967525601266,TRUE,TRUE,TRUE,FALSE,TRUE
"Edil3",0.00017034048371179,8.80993356912389e-06,168,437,2.89037175789616,0.693147180559945,3.20438765258049e-127,2.19722457733622,9,143,194,29.80604778903,25.3706240109005,34.4188885182846,TRUE,TRUE,TRUE,FALSE,TRUE
"Rab3b",0.000170454805152838,5.80756939945967e-06,135,164,2.89037175789616,0.693147180559945,5.09171762480929e-136,2.19722457733622,9,113,158,23.9512884018991,20.0481154771451,28.0318782777782,TRUE,TRUE,TRUE,FALSE,TRUE
"Nxph4",0.000151955270174672,5.68864659359321e-06,163,116,2.77258872223978,0.693147180559945,1.19476546540527e-188,2.07944154167984,8,138,188,28.9189630334041,24.4835392552746,33.3543868115335,TRUE,TRUE,TRUE,FALSE,TRUE
"Shox2",7.09437886462882e-05,2.28961573137785e-07,36,4,2.07944154167984,0,6.23709124052162e-55,2.07944154167984,8,25,48,6.38701024050642,4.43542377812946,8.51601365400856,TRUE,TRUE,TRUE,FALSE,TRUE
"Dgkb",0.000293292980873362,2.85327617576612e-05,133,875,3.40119738166216,1.38629436111989,1.5895981836308e-58,2.01490302054227,7.5,111,156,23.5964544996487,19.6932815748948,27.6770443755278,TRUE,TRUE,TRUE,FALSE,TRUE
"Rasgrp1",0.000141566577423581,5.8101109420301e-06,131,227,2.70805020110221,0.693147180559945,2.18746837807331e-117,2.01490302054226,7.5,109,154,23.2416205973984,19.3384476726444,27.3222104732775,TRUE,TRUE,TRUE,FALSE,TRUE
