"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"C1qtnf2",0.000143357927053942,5.21589555178006e-08,57,2,2.70805020110221,0,1.00111905819597e-103,2.70805020110221,15,43,72,16.8259722164824,12.6932772861183,21.2538596418725,TRUE,TRUE,TRUE,FALSE,TRUE
"Col15a1",0.000140098067095436,7.98303092902927e-08,47,2,2.70805020110221,0,2.97131709195852e-85,2.70805020110221,15,34,61,13.8740472662223,10.0365448308842,18.0067421965864,TRUE,TRUE,TRUE,FALSE,TRUE
"Crabp2",0.000142418227676349,2.84869758668623e-07,91,6,2.70805020110221,0,2.390070315e-161,2.70805020110221,15,73,110,26.8625170473666,21.5490521368985,32.4711744528607,TRUE,TRUE,TRUE,FALSE,TRUE
"Pdlim3",0.000139988657302905,1.50937085296162e-06,50,65,2.70805020110221,0,3.22834058483891e-61,2.70805020110221,15,37,64,14.7596247513003,10.9221223159622,18.8923196816644,TRUE,TRUE,TRUE,FALSE,TRUE
"Pgf",0.000143064769045643,1.11964798810719e-06,41,36,2.70805020110221,0,2.83151740059802e-55,2.70805020110221,15,29,54,12.1028922960663,8.56058235575419,15.9403947314043,TRUE,TRUE,TRUE,FALSE,TRUE
"Rasl12",0.000142259571286307,9.15930729013824e-07,46,29,2.70805020110221,0,6.53718337335862e-66,2.70805020110221,15,33,60,13.5788547711963,9.74135233585821,17.7115497015604,TRUE,TRUE,TRUE,FALSE,TRUE
"Epas1",0.000440922652572614,1.89738307271604e-05,123,699,3.80666248977032,1.09861228866811,8.01589421203516e-85,2.70805020110221,15,102,145,36.3086768881988,30.1096344926527,42.8029117787709,TRUE,TRUE,TRUE,FALSE,TRUE
"Esam",0.000443607688257262,1.97773667460036e-05,124,674,3.80666248977032,1.09861228866811,1.61704832880416e-87,2.70805020110221,15,103,146,36.6038693832248,30.4048269876787,43.0981042737969,TRUE,TRUE,TRUE,FALSE,TRUE
"Ppp1r14a",0.000436955533609958,2.14284449776044e-05,138,931,3.80666248977032,1.09861228866811,2.77804994745062e-86,2.70805020110221,15,115,161,40.7365643135889,33.9471369279907,47.525991699187,TRUE,TRUE,TRUE,FALSE,TRUE
"Anxa2",0.000284922864149378,6.59723808518033e-06,106,286,3.36729582998647,0.693147180559945,6.18821758206734e-102,2.67414864942653,14.5,86,127,31.2904044727567,25.3865545722366,37.4894468683028,TRUE,TRUE,TRUE,FALSE,TRUE
"Isyna1",0.000276967265062241,1.22232568921925e-05,123,348,3.36729582998647,0.693147180559945,6.39963417313482e-116,2.67414864942653,14.5,102,145,36.3086768881988,30.1096344926527,42.8029117787709,TRUE,TRUE,TRUE,FALSE,TRUE
"Prss23",0.000284492196721992,7.0926179315005e-06,96,279,3.36729582998647,0.693147180559945,5.78540498105915e-90,2.67414864942653,14.5,77,116,28.3384795224966,22.7298221170025,34.2423294230167,TRUE,TRUE,TRUE,FALSE,TRUE
