"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"S1pr1",0.000727194423220859,9.60826246817496e-05,247,4694,4.30406509320417,2.39789527279837,1.71066511841383e-66,1.9061698204058,6.72727272727273,217,278,74.6187495468497,65.5557435290137,83.9838557652802,TRUE,TRUE,TRUE,FALSE,TRUE
"Acsl6",0.00112067380052147,0.000163617302420408,401,4458,4.72738781871234,2.83321334405622,1.63091725475749e-178,1.89417447465612,6.64705882352941,362,441,121.142180438408,109.360272615221,133.226188462189,TRUE,TRUE,TRUE,FALSE,TRUE
"Atp1b2",0.00382221677190184,0.000571397637693449,1276,15323,5.94803498918065,4.06044301054642,0,1.88759197863423,6.60344827586207,1207,1346,385.479855958624,364.634942117602,406.626870000242,TRUE,TRUE,TRUE,FALSE,TRUE
"Gadd45g",0.000315913929570552,3.71405859468097e-05,112,1085,3.49650756146648,1.6094379124341,9.90423016760408e-57,1.88706964903238,6.6,92,133,33.8352224665877,27.7932184546971,40.1793266790729,TRUE,TRUE,TRUE,FALSE,TRUE
"Mrps6",0.000367017727883436,5.3208502337853e-05,129,1693,3.63758615972639,1.79175946922805,2.44345475317277e-51,1.84582669049833,6.33333333333333,107,152,38.9709258766948,32.324721463615,45.919230490369,TRUE,TRUE,TRUE,FALSE,TRUE
"Qk",0.000901302840122699,0.000141467122762445,314,5606,4.51085950651685,2.70805020110221,3.53411273700278e-90,1.80280930541464,6.06666666666666,280,349,94.8594629866834,84.5880561664693,105.432970007492,TRUE,TRUE,TRUE,FALSE,TRUE
"Mt3",0.00172028269705521,0.000277718650463216,641,9581,5.15329159449778,3.36729582998647,0,1.78599576451131,5.96551724137931,592,691,193.646228581096,178.843318751964,208.751238610822,TRUE,TRUE,TRUE,FALSE,TRUE
"Gstm1",0.000816544225552147,0.000128146074669856,286,6318,4.4188406077966,2.63905732961526,1.44218815550672e-63,1.77978327818134,5.92857142857143,253,320,86.4006573700365,76.4313507504169,96.6720641902506,TRUE,TRUE,TRUE,FALSE,TRUE
"Sparc",0.00216518350680981,0.000366655094598342,845,15367,5.38449506278909,3.63758615972639,0,1.7469089030627,5.73684210526316,789,902,255.274669502381,238.357058269087,272.494380936269,TRUE,TRUE,TRUE,FALSE,TRUE
"S100b",0.00109286472521472,0.000186109558708945,423,8273,4.70048036579242,2.99573227355399,1.1768899098466e-108,1.70474809223843,5.5,383,464,127.788384851488,115.704376827706,140.174493075863,TRUE,TRUE,TRUE,FALSE,TRUE
