"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Adenylate Cyclase Activating G Protein Coupled Receptor Signaling Pathway",0.90625,0.475328947368421,-0.761904761904762,-0.4375,0.684027777777778,-0.761904761904762,0.4375,-0.71875,-0.625,0.65625,0.475328947368421,-0.732142857142857,-0.545673076923077,-0.516129032258065,-0.396739130434783,0.4375,-0.506578947368421,-0.650568181818182,0.473214285714286,-0.446428571428571,-0.590460526315789,0.423611111111111,0.336805555555556,-0.5625,-0.6875,-0.604166666666667,0.730654761904762,0.5625,0.729779411764706,-0.842105263157895,0.90625,0.542613636363636,-0.53125,-0.577083333333333,0.71875,0.415178571428571,-0.5,0.96875,-0.571428571428571,0.53125,-0.375,-0.71875,0.78125,0.96875,-0.5,-0.4375,0.549632352941177,-0.6875,-0.581730769230769,0.6875,-0.599431818181818,0.80952380952381,-0.761029411764706,-0.75,-0.772916666666667,-0.473557692307692,-0.65625,-0.625,0.690340909090909,-0.497159090909091
"Adenylate Cyclase Modulating G Protein Coupled Receptor Signaling Pathway",0.90625,0.475328947368421,-0.761904761904762,-0.4375,0.684027777777778,-0.761904761904762,0.4375,-0.71875,-0.625,0.65625,0.475328947368421,-0.732142857142857,-0.545673076923077,-0.516129032258065,-0.396739130434783,0.4375,-0.506578947368421,-0.650568181818182,0.473214285714286,-0.446428571428571,-0.590460526315789,0.423611111111111,0.336805555555556,-0.5625,-0.6875,-0.604166666666667,0.730654761904762,0.5625,0.729779411764706,-0.842105263157895,0.90625,0.542613636363636,-0.53125,-0.577083333333333,0.71875,0.415178571428571,-0.5,0.96875,-0.571428571428571,0.53125,-0.375,-0.71875,0.78125,0.96875,-0.5,-0.4375,0.549632352941177,-0.6875,-0.581730769230769,0.6875,-0.599431818181818,0.80952380952381,-0.761029411764706,-0.75,-0.772916666666667,-0.473557692307692,-0.65625,-0.625,0.690340909090909,-0.497159090909091
"Alpha Beta T Cell Activation",-0.516129032258065,-0.416666666666667,0.395,-0.670955882352941,-0.68125,-0.3125,-0.71875,-0.84375,-0.375,-0.670955882352941,-0.760416666666667,-0.5625,-0.5625,-0.6875,-0.625,0.46625,-0.625,-0.68125,0.6875,-0.71875,-0.6875,-0.580882352941176,-0.40625,-0.6375,-0.5625,0.65625,-0.40625,0.447916666666667,-0.5,-0.526785714285714,0.71875,0.875,-0.625,0.589673913043478,0.726973684210526,-0.375,-0.674342105263158,-0.4375,0.59375,-0.65625,0.336309523809524,0.484879032258065,0.59375,0.484879032258065,1,-0.625,0.465277777777778,-0.581730769230769,-0.506578947368421,0.639705882352941,-0.338815789473684,0.770833333333333,0.653846153846154,0.8125,0.572916666666667,0.875,0.726973684210526,0.493055555555556,0.741666666666667,0.90625
"Alpha Beta T Cell Differentiation",-0.516129032258065,-0.416666666666667,0.395,-0.670955882352941,-0.68125,-0.3125,-0.71875,-0.84375,-0.375,-0.670955882352941,-0.760416666666667,-0.5625,-0.5625,-0.6875,-0.625,0.46625,-0.625,-0.68125,0.6875,-0.71875,-0.6875,-0.580882352941176,-0.40625,-0.6375,-0.5625,0.65625,-0.40625,0.447916666666667,-0.5,-0.526785714285714,0.71875,0.875,-0.625,0.589673913043478,0.726973684210526,-0.375,-0.674342105263158,-0.4375,0.59375,-0.65625,0.336309523809524,0.484879032258065,0.59375,0.484879032258065,1,-0.625,0.465277777777778,-0.581730769230769,-0.506578947368421,0.639705882352941,-0.338815789473684,0.770833333333333,0.653846153846154,0.8125,0.572916666666667,0.875,0.726973684210526,0.493055555555556,0.741666666666667,0.90625
"Behavior",0.625,-0.772916666666667,-0.34375,0.65,-0.90625,-0.8125,0.484879032258065,0.568181818181818,-0.4375,0.395,-0.65625,0.5375,0.78125,0.9375,0.6875,-0.6875,-0.4375,-0.368055555555556,-0.75,-0.400735294117647,0.84375,-0.5625,-0.761904761904762,-0.533333333333333,-0.71875,0.772727272727273,-0.78125,-0.53125,-0.615384615384615,0.635416666666667,0.598214285714286,-0.75,-0.727272727272727,-0.5,0.857638888888889,-0.40625,0.71875,-0.834821428571429,-0.75,0.5625,0.71875,0.75,-0.6875,-0.65625,0.542613636363636,-0.367559523809524,-0.477272727272727,0.76875,0.3125,0.495535714285714,0.8125,-0.5,0.78125,0.9375,-0.870833333333333,0.5625,0.85,-0.34375,-0.761904761904762,-0.78125
"Biological Adhesion",0.404214559386973,-0.518620689655172,0.326923076923077,0.36067101584343,-0.32601880877743,0.339522546419098,-0.43025078369906,-0.413793103448276,-0.52037617554859,-0.422559906487434,0.431590656284761,-0.406355645706559,-0.394088669950739,-0.470588235294118,-0.654370489174018,0.28544061302682,0.409961685823755,-0.525699414443722,-0.344827586206897,-0.712109061748196,-0.417329796640142,0.443051201671891,-0.499361430395913,-0.533468559837728,-0.209852216748769,-0.369252873563219,0.347701149425287,-0.529780564263323,0.383141762452107,-0.379310344827586,0.494533221194281,-0.293103448275862,0.66,-0.333333333333334,0.326436781609195,-0.553752535496958,-0.379310344827586,0.36551724137931,-0.210727969348659,0.654521795705921,0.402859545836838,0.55564263322884,-0.546551724137931,0.531289910600255,0.702127659574468,0.597701149425287,0.515742128935532,-0.585249042145594,0.303616484440706,-0.360254083484574,0.396551724137931,-0.561422413793104,-0.549201009251472,0.552978056426332,0.478204294079375,0.479885057471264,0.391480730223124,0.632183908045977,0.320089955022489,0.53728949478749
"Bone Development",0.90625,0.625,0.597222222222222,-0.84375,0.46875,-0.75,-0.59375,-0.727272727272727,-0.424107142857143,0.625,-0.75,-0.732142857142857,-0.71875,-0.875,-0.675,-0.689903846153846,-0.675,-0.90625,-0.90625,-0.75,-0.6875,-0.75,-0.71875,0.4375,-0.71875,0.71875,0.625,0.614583333333333,0.839583333333333,-0.581730769230769,0.96875,0.9375,-0.875,-0.416666666666667,0.9375,0.65625,-0.870833333333333,0.810855263157895,0.84375,-0.40625,0.65625,-0.96875,0.75,1,-0.53125,0.729779411764706,0.700892857142857,-0.71875,-0.675,0.625,0.568181818181818,0.726973684210526,0.548387096774194,0.336805555555556,-0.496527777777778,0.625,-0.40625,-0.75,0.614583333333333,0.78125
"Catalytic Complex",0.433497536945813,-0.369458128078818,-0.267432950191571,-0.299284320104099,-0.537525354969574,0.361702127659574,-0.370689655172414,-0.735364875701684,0.326018808777429,-0.297082228116711,0.507921714818267,-0.364681295715779,0.376311844077961,0.442006269592476,-0.363218390804598,0.690669371196755,-0.341829085457272,-0.553076402974983,-0.316947909024211,-0.421362489486964,0.389594676346038,0.445571331981068,0.498850574712644,-0.684430512016719,-0.253549695740365,-0.41025641025641,-0.44955300127714,-0.379310344827586,0.766830870279146,0.315134099616858,0.298350824587706,-0.632183908045977,0.485714285714286,0.294602698650675,-0.342068965517241,0.344211822660099,0.399784482758621,0.337610264635124,-0.339214113873296,0.246551724137931,-0.413793103448276,0.70026525198939,-0.304214559386973,-0.46969696969697,0.613026819923371,-0.390243902439025,-0.340425531914894,0.580901856763926,0.586206896551724,0.445571331981068,0.385579937304075,-0.271441202475685,-0.5311986863711,-0.272819472616633,0.26497277676951,0.359605911330049,0.585249042145594,0.359605911330049,0.336382828993666,0.446949602122016
"Cd4 Positive Alpha Beta T Cell Activation",-0.516129032258065,-0.416666666666667,0.395,-0.670955882352941,-0.68125,-0.3125,-0.71875,-0.84375,-0.375,-0.670955882352941,-0.760416666666667,-0.5625,-0.5625,-0.6875,-0.625,0.46625,-0.625,-0.68125,0.6875,-0.71875,-0.6875,-0.580882352941176,-0.40625,-0.6375,-0.5625,0.65625,-0.40625,0.447916666666667,-0.5,-0.526785714285714,0.71875,0.875,-0.625,0.589673913043478,0.726973684210526,-0.375,-0.674342105263158,-0.4375,0.59375,-0.65625,0.336309523809524,0.484879032258065,0.59375,0.484879032258065,1,-0.625,0.465277777777778,-0.581730769230769,-0.506578947368421,0.639705882352941,-0.338815789473684,0.770833333333333,0.653846153846154,0.8125,0.572916666666667,0.875,0.726973684210526,0.493055555555556,0.741666666666667,0.90625
"Cd4 Positive Alpha Beta T Cell Differentiation",-0.516129032258065,-0.416666666666667,0.395,-0.670955882352941,-0.68125,-0.3125,-0.71875,-0.84375,-0.375,-0.670955882352941,-0.760416666666667,-0.5625,-0.5625,-0.6875,-0.625,0.46625,-0.625,-0.68125,0.6875,-0.71875,-0.6875,-0.580882352941176,-0.40625,-0.6375,-0.5625,0.65625,-0.40625,0.447916666666667,-0.5,-0.526785714285714,0.71875,0.875,-0.625,0.589673913043478,0.726973684210526,-0.375,-0.674342105263158,-0.4375,0.59375,-0.65625,0.336309523809524,0.484879032258065,0.59375,0.484879032258065,1,-0.625,0.465277777777778,-0.581730769230769,-0.506578947368421,0.639705882352941,-0.338815789473684,0.770833333333333,0.653846153846154,0.8125,0.572916666666667,0.875,0.726973684210526,0.493055555555556,0.741666666666667,0.90625
