"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"Adenylate Cyclase Modulating G Protein Coupled Receptor Signaling Pathway",0.9375,-0.71875,-0.424107142857143,0.65625,-0.842105263157895,-0.5625,-0.6875,0.700892857142857,-0.65625,-0.64,0.5375,-0.475961538461538,-0.525297619047619,0.484879032258065,-0.645833333333333,-0.3125,0.550480769230769,-0.65625,0.65625,0.65625,-0.761029411764706,0.8125,-0.38125,-0.5,0.545833333333333,0.810855263157895,-0.38125,-0.497159090909091,0.75,0.96875,0.484879032258065,-0.525297619047619,-0.625,0.336805555555556,0.423611111111111,-0.689903846153846,-0.71875,-0.59375,-0.5,-0.650568181818182
"Alpha Beta T Cell Activation",-0.516129032258065,-0.34375,-0.715277777777778,-0.6875,0.46875,-0.90625,-0.9375,-0.53125,-0.375,-0.65625,-0.28125,-0.367559523809524,-0.75,0.5625,-0.78125,-0.577083333333333,-0.71875,0.415178571428571,0.589673913043478,0.447916666666667,-0.490808823529412,0.772727272727273,0.5625,0.75,-0.34375,-0.473557692307692,-0.416666666666667,-0.581730769230769,0.60625,-0.5,-0.46875,0.44375,-0.580882352941176,-0.46875,0.875,0.75,0.819852941176471,0.803571428571429,0.540178571428571,0.8125
"Alpha Beta T Cell Differentiation",-0.516129032258065,-0.34375,-0.715277777777778,-0.6875,0.46875,-0.90625,-0.9375,-0.53125,-0.375,-0.65625,-0.28125,-0.367559523809524,-0.75,0.5625,-0.78125,-0.577083333333333,-0.71875,0.415178571428571,0.589673913043478,0.447916666666667,-0.490808823529412,0.772727272727273,0.5625,0.75,-0.34375,-0.473557692307692,-0.416666666666667,-0.581730769230769,0.60625,-0.5,-0.46875,0.44375,-0.580882352941176,-0.46875,0.875,0.75,0.819852941176471,0.803571428571429,0.540178571428571,0.8125
"Behavior",0.607638888888889,-0.71875,0.690340909090909,-0.8125,-0.46875,-0.581730769230769,-0.571428571428571,0.584134615384615,-0.367559523809524,0.875,0.8125,0.6875,0.392857142857143,-0.84375,0.59375,0.5625,-0.75,-0.56875,-0.625,-0.625,-0.396739130434783,-0.34375,-0.90625,0.741666666666667,0.78125,-0.75,-0.84375,0.739130434782609,-0.5,-0.68125,0.416666666666667,0.514945652173913,0.739130434782609,0.78125,0.46875,1,-0.721590909090909,0.684027777777778,-0.628472222222222,-0.689903846153846
"Biological Adhesion",0.473474801061008,-0.559038662486938,0.414634146341463,0.344827586206896,-0.374498797113071,-0.24916573971079,-0.493534482758621,0.346938775510204,0.271943573667712,-0.372093023255814,-0.447230929989551,-0.532233883058471,-0.352044907778669,0.425963488843813,-0.762068965517241,0.427899686520376,0.448275862068965,-0.583743842364532,-0.449388209121246,-0.413793103448276,0.334099616858238,-0.434267241379311,0.498850574712644,-0.451812555260831,-0.428683385579937,0.397949673811743,0.689655172413793,0.314176245210728,0.247947454844007,0.563218390804598,0.825,0.366463826910074,0.241379310344828,-0.347826086956522,-0.548094373865699,0.380131362889984,-0.347826086956522,0.443805874840357,0.639846743295019,0.424403183023873
"Bone Development",0.96875,0.65625,-0.8125,0.392857142857143,-0.842105263157895,-0.834821428571429,-0.65625,-0.4375,-0.6875,-0.8,-0.78125,-0.875,-0.75,-0.758223684210526,-0.78125,-0.84375,-0.802083333333333,0.59375,0.75,0.65625,-0.629464285714286,1,0.5625,0.607638888888889,0.6875,0.60875,-0.34375,0.59375,0.3125,0.96875,0.909926470588235,-0.28125,-0.675,0.614583333333333,0.619318181818182,0.46625,0.4375,-0.5,-0.798076923076923,0.71875
"Catalytic Complex",-0.362068965517241,-0.413793103448276,-0.32,-0.38128078817734,0.393983859134263,-0.705634987384357,0.378620689655172,0.320794148380355,0.340886699507389,0.337020169160703,0.456733897202342,-0.406355645706559,-0.431401320616288,-0.340517241379311,-0.532131661442006,0.507957559681698,0.556513409961686,-0.470522803114572,-0.588407923697726,-0.44683908045977,0.398467432950191,-0.523209549071618,0.309090909090909,0.412151067323481,-0.281830238726791,0.36551724137931,-0.331034482758621,-0.275862068965517,0.326018808777429,-0.456271864067966,0.450365726227795,0.236958443854996,0.558398220244716,0.346294937637564,-0.449096880131363,-0.310344827586207,0.325771324863884,0.647214854111406,0.632183908045977,0.411637931034483
"Cd4 Positive Alpha Beta T Cell Activation",-0.516129032258065,-0.34375,-0.715277777777778,-0.6875,0.46875,-0.90625,-0.9375,-0.53125,-0.375,-0.65625,-0.28125,-0.367559523809524,-0.75,0.5625,-0.78125,-0.577083333333333,-0.71875,0.415178571428571,0.589673913043478,0.447916666666667,-0.490808823529412,0.772727272727273,0.5625,0.75,-0.34375,-0.473557692307692,-0.416666666666667,-0.581730769230769,0.60625,-0.5,-0.46875,0.44375,-0.580882352941176,-0.46875,0.875,0.75,0.819852941176471,0.803571428571429,0.540178571428571,0.8125
"Cd4 Positive Alpha Beta T Cell Differentiation",-0.516129032258065,-0.34375,-0.715277777777778,-0.6875,0.46875,-0.90625,-0.9375,-0.53125,-0.375,-0.65625,-0.28125,-0.367559523809524,-0.75,0.5625,-0.78125,-0.577083333333333,-0.71875,0.415178571428571,0.589673913043478,0.447916666666667,-0.490808823529412,0.772727272727273,0.5625,0.75,-0.34375,-0.473557692307692,-0.416666666666667,-0.581730769230769,0.60625,-0.5,-0.46875,0.44375,-0.580882352941176,-0.46875,0.875,0.75,0.819852941176471,0.803571428571429,0.540178571428571,0.8125
"Cell Activation",0.623342175066313,-0.206896551724138,0.320754716981132,0.344827586206896,-0.432432432432433,-0.491789819376026,-0.331034482758621,0.459459459459459,0.313708999158957,-0.4,-0.467432950191571,-0.64576802507837,-0.394984326018809,-0.322660098522168,-0.758620689655172,0.28551724137931,-0.394088669950739,0.272030651340996,0.473713962690786,0.379310344827586,-0.372707263389582,0.638726790450928,0.361702127659574,-0.409688013136289,-0.369971264367816,0.346469622331691,0.412748171368861,-0.275862068965517,0.213026819923372,0.618534482758621,0.632183908045977,-0.27801724137931,-0.517241379310345,-0.402859545836838,0.271943573667712,0.372582001682086,-0.421052631578948,-0.29000884173298,0.409961685823755,0.489655172413793
