49,67,40
49,51,17
51,57,59
50,67,49
49,30,22
50,27,53
49,38,18
48,32,21
50,15,47
51,29,54
58,57,21
58,40,24
58,28,23
59,15,34
60,18,45
59,27,57
70,36,37
70,33,46
71,59,55
70,55,49
70,37,32
70,35,32
71,60,56
71,23,56
70,34,56
71,22,54
71,55,72
71,42,77
71,55,69
71,62,68
49,68,38
49,48,18
51,55,58
50,67,49
48,37,18
50,14,37
50,14,45
50,13,40
58,57,24
58,35,20
58,36,19
58,29,23
60,44,65
60,64,68
60,45,66
60,65,68
60,19,47
59,28,57
59,16,33
1,1,1
70,46,35
70,34,31
70,47,35
70,33,44
69,27,42
69,29,40
70,34,54
71,37,78
71,62,65
70,62,66
