"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80"
"Schizophrenia",0.78125,0.857638888888889,-0.592592592592593,-0.59375,-0.5625,-0.798076923076923,-0.524305555555556,-0.5625,-0.96875,-0.71875,-0.590460526315789,-0.68125,-0.71875,-0.666666666666667,-0.46875,-0.875,-0.65625,-0.78125,-0.683035714285714,0.502083333333333,-0.571428571428571,0.59375,-0.580882352941176,0.53125,-0.8125,-0.666666666666667,-0.834821428571429,-0.875,-0.8,0.5,-0.475,-0.75,-0.4375,-0.625,-0.8125,-0.875,-0.798076923076923,-0.590460526315789,-0.475,-0.3125,0.625,0.76875,0.9375,0.635416666666667,0.664402173913043,0.336309523809524,-0.53125,0.726973684210526,0.84375,0.639705882352941,0.684027777777778,0.60875,0.64375,-0.761029411764706,0.8125,1,0.729166666666667,0.279411764705882,-0.55625,0.71875,0.8125,0.78125,-0.34375,0.772727272727273,0.525,0.894736842105263,0.625,0.772727272727273,0.46875,-0.8,0.493055555555556,0.540178571428571,-0.4375,0.766826923076923,-0.338815789473684,0.944444444444444,-0.34375,0.690340909090909,0.65625,0.375
"Liver_carcinoma",-0.64516129032258,0.512406947890819,0.691066997518611,0.588709677419355,0.473118279569892,0.543424317617866,0.354838709677419,0.340725806451613,0.903225806451613,0.67741935483871,-0.431451612903226,0.564027370478984,0.870967741935484,-0.419354838709677,0.935483870967742,-0.516129032258064,-0.572043010752688,0.741935483870968,0.916666666666667,0.73252688172043,0.739130434782609,-0.454193548387097,0.53125,-0.376344086021505,-0.423225806451613,0.867511520737327,-0.677419354838709,-0.470967741935484,0.719452590420332,0.798709677419355,0.402764976958525,0.417562724014337,-0.635483870967742,-0.451612903225806,0.746294681778553,0.741935483870968,0.903225806451613,-0.573118279569892,0.274193548387097,0.617302052785924,-0.569892473118279,-0.674193548387096,0.453510436432638,-0.523573200992555,-0.660483870967742,-0.47394540942928,0.450146627565982,-0.516129032258064,-0.523297491039426,-0.513323983169705,-0.709677419354838,0.520967741935484,-0.709677419354838,0.493951612903226,0.445161290322581,-0.546920821114369,-0.402150537634408,0.653846153846154,-0.76463560334528,-0.580645161290322,-0.548387096774193,-0.561762391817466,0.370967741935484,-0.709677419354838,-0.71774193548387,-0.677419354838709,-0.534562211981567,-0.64,0.588089330024814,0.69449715370019,0.410138248847926,0.697343453510436,-0.700778642936596,-0.290322580645161,-0.315412186379928,-0.651026392961876,-0.870967741935483,-0.799999999999999,-0.580645161290322,-0.767281105990783
"Alcoholic_Intoxication,_Chronic",-0.4375,-0.689903846153846,-0.533333333333333,-0.71875,-0.941176470588235,-0.5625,-0.9375,-0.888888888888889,-0.75,0.60875,-0.40625,-0.760416666666667,0.514423076923077,-1,0.857638888888889,-0.75,-0.65625,0.589673913043478,0.65625,0.664402173913043,-0.375,-0.3125,-0.375,-0.888888888888889,-0.71875,0.6875,-0.5,-0.9375,0.80952380952381,0.71875,0.71875,0.625,-0.75,-0.6875,0.548387096774194,-0.761904761904762,-0.506578947368421,-0.71875,-0.396739130434783,0.71875,-0.40625,0.696022727272727,0.9375,0.336805555555556,-0.75,-0.396739130434783,0.5625,0.71875,0.8125,-0.40625,0.375,-0.28125,-0.46875,-0.761029411764706,0.78125,0.607142857142857,0.658653846153846,0.494047619047619,-0.590460526315789,0.6875,0.658653846153846,0.78125,-0.3125,0.62962962962963,0.84375,0.607142857142857,-0.670955882352941,1,0.690340909090909,-0.473557692307692,0.75,0.96875,-0.4375,-0.5625,0.78125,0.84375,0.53125,-0.760416666666667,0.65625,-0.65625
"Malignant_Neoplasms",0.60625,0.635416666666667,0.84375,-0.59375,0.447916666666667,-0.732142857142857,0.75,-0.834821428571429,-0.533333333333333,-0.3125,0.65625,-0.78125,0.459558823529412,-0.28125,0.894736842105263,-0.875,-0.75,0.440217391304348,0.484879032258065,-0.546195652173913,-0.8,0.59375,0.586206896551724,-0.875,-0.84375,-0.941176470588235,-0.670955882352941,-0.53125,-0.5,-0.5,0.395,0.391447368421053,0.59375,-0.59375,0.5625,-0.422697368421053,0.875,0.6875,0.75,0.651785714285714,-0.727272727272727,-0.416666666666667,0.810855263157895,0.857638888888889,0.520474137931034,-0.65625,-0.65625,0.59375,0.53125,0.625,0.643092105263158,0.909926470588235,0.549632352941177,0.598214285714286,0.684027777777778,-0.78125,-0.870833333333333,0.78125,0.5625,0.76875,0.78125,-0.46875,0.6875,-0.71875,-0.4375,-0.8125,0.658653846153846,-0.761904761904762,0.59375,-0.5,-0.75,0.444711538461538,-0.645833333333333,0.389204545454545,0.336309523809524,-0.834821428571429,-0.78125,0.550480769230769,0.700892857142857,-0.400735294117647
"Prostatic_Neoplasms",0.803571428571429,-0.670955882352941,-0.721590909090909,-0.6875,-0.446428571428571,0.770833333333333,-0.675,0.53125,-0.55,-0.90625,-0.506578947368421,-0.620923913043478,-0.6875,0.60625,-0.842105263157895,-0.5,0.6875,-0.71875,0.729166666666667,0.739130434782609,0.96875,0.389204545454545,0.690340909090909,0.4375,-0.5,-0.78125,0.625,0.59375,-0.4375,0.365489130434783,0.80952380952381,0.803571428571429,0.597222222222222,0.625,-0.84375,-0.851102941176471,-0.71875,-0.90625,-0.75,0.3125,0.59375,0.875,-0.8125,-0.8125,0.447916666666667,-0.5,-0.46875,-0.732142857142857,-0.670955882352941,-0.46875,-0.46875,-0.5,-0.3125,0.542613636363636,0.664402173913043,0.6875,0.78125,-0.84375,-0.4375,-0.592592592592593,0.60875,0.810855263157895,-0.870833333333333,0.8125,0.465277777777778,0.75,-0.6875,0.6875,-0.8125,0.770833333333333,-0.497159090909091,0.75,0.520474137931034,-0.497159090909091,0.96875,0.6875,0.85,-0.9375,-0.8125,0.770833333333333
"Malignant_neoplasm_of_prostate",0.803571428571429,-0.670955882352941,-0.721590909090909,-0.6875,-0.446428571428571,0.770833333333333,-0.675,0.53125,-0.55,-0.90625,-0.506578947368421,-0.620923913043478,-0.6875,0.60625,-0.842105263157895,-0.5,0.6875,-0.71875,0.729166666666667,0.739130434782609,0.96875,0.389204545454545,0.690340909090909,0.4375,-0.5,-0.78125,0.625,0.59375,-0.4375,0.365489130434783,0.80952380952381,0.803571428571429,0.597222222222222,0.625,-0.84375,-0.851102941176471,-0.71875,-0.90625,-0.75,0.3125,0.59375,0.875,-0.8125,-0.8125,0.447916666666667,-0.5,-0.46875,-0.732142857142857,-0.670955882352941,-0.46875,-0.46875,-0.5,-0.3125,0.542613636363636,0.664402173913043,0.6875,0.78125,-0.84375,-0.4375,-0.592592592592593,0.60875,0.810855263157895,-0.870833333333333,0.8125,0.465277777777778,0.75,-0.6875,0.6875,-0.8125,0.770833333333333,-0.497159090909091,0.75,0.520474137931034,-0.497159090909091,0.96875,0.6875,0.85,-0.9375,-0.8125,0.770833333333333
"Depression,_Bipolar",-0.46875,0.700892857142857,-0.8,0.3125,0.803571428571429,0.46875,0.53125,0.741666666666667,-0.4975,0.307565789473684,0.520474137931034,-0.5,-0.629464285714286,0.515151515151515,0.614583333333333,-0.42625,-0.59375,-0.75,-0.38125,0.696022727272727,0.549632352941177,0.5625,-0.375,-0.645833333333333,0.415178571428571,-0.28125,0.65,-0.546195652173913,-0.46875,-0.338815789473684,0.51875,-0.65625,0.369485294117647,-0.338815789473684,-0.715277777777778,-0.8125,-0.798076923076923,0.520474137931034,0.540178571428571,0.65625,-0.526785714285714,0.76875,-0.4375,-0.477272727272727,-0.3125,0.65625,-0.870833333333333,0.619318181818182,0.84375,0.597222222222222,0.495535714285714,0.514945652173913,0.40625,-0.6375,0.8125,0.944444444444444,-0.592592592592593,0.336805555555556,-0.71875,-0.55625,-0.592592592592593,0.78125,-0.59375,0.80952380952381,0.639705882352941,0.515151515151515,-0.416666666666667,0.548387096774194,-0.638888888888889,-0.758223684210526,0.6875,0.76875,-0.53125,-0.798076923076923,0.279411764705882,0.515151515151515,-0.38125,0.53125,-0.375,-0.65625
"Colorectal_Carcinoma",0.403225806451613,0.75,0.870967741935484,-0.387096774193548,-0.5,-0.330367074527252,-0.403225806451613,-0.941176470588235,-0.741935483870967,0.519466073414905,0.709677419354839,-0.496106785317019,0.452725250278087,-0.516129032258064,0.539170506912442,-0.741935483870967,0.412186379928315,0.729646697388633,-0.503456221198156,-0.696480938416422,-0.838709677419354,-0.621935483870967,-0.64516129032258,-0.5,0.515151515151515,-0.571428571428571,-0.723325062034739,-0.502546689303905,0.414634146341463,0.419354838709678,-0.370967741935484,0.519466073414905,-0.735261401557285,-0.516129032258064,0.607142857142857,-0.64516129032258,0.451612903225807,-0.354838709677419,0.709677419354839,0.32258064516129,0.387096774193548,0.32258064516129,0.936491935483871,0.594330400782014,0.531769305962855,-0.838709677419354,-0.649560117302052,0.645161290322581,0.806451612903226,-0.81427174975562,0.751273344651952,0.66705069124424,0.723118279569892,-0.451612903225806,0.603225806451613,-0.449820788530466,-0.483870967741935,0.421252371916509,0.709677419354839,0.501075268817204,-0.423225806451613,0.868743047830923,0.709677419354839,-0.677419354838709,-0.387096774193548,-0.388709677419355,-0.403225806451613,-0.387096774193548,0.451612903225807,-0.612903225806451,-0.392706872370266,0.491039426523298,-0.612903225806451,0.573313782991203,-0.424075531077891,0.539784946236559,-0.258064516129032,-0.4293659621802,0.456221198156682,-0.48252688172043
"Bipolar_Disorder",-0.46875,0.700892857142857,-0.8,0.3125,0.803571428571429,0.46875,0.53125,0.741666666666667,-0.4975,0.307565789473684,0.520474137931034,-0.5,-0.629464285714286,0.515151515151515,0.614583333333333,-0.42625,-0.59375,-0.75,-0.38125,0.696022727272727,0.549632352941177,0.5625,-0.375,-0.645833333333333,0.415178571428571,-0.28125,0.65,-0.546195652173913,-0.46875,-0.338815789473684,0.51875,-0.65625,0.369485294117647,-0.338815789473684,-0.715277777777778,-0.8125,-0.798076923076923,0.520474137931034,0.540178571428571,0.65625,-0.526785714285714,0.76875,-0.4375,-0.477272727272727,-0.3125,0.65625,-0.870833333333333,0.619318181818182,0.84375,0.597222222222222,0.495535714285714,0.514945652173913,0.40625,-0.6375,0.8125,0.944444444444444,-0.592592592592593,0.336805555555556,-0.71875,-0.55625,-0.592592592592593,0.78125,-0.59375,0.80952380952381,0.639705882352941,0.515151515151515,-0.416666666666667,0.548387096774194,-0.638888888888889,-0.758223684210526,0.6875,0.76875,-0.53125,-0.798076923076923,0.279411764705882,0.515151515151515,-0.38125,0.53125,-0.375,-0.65625
"Anoxemia",0.78125,0.857638888888889,-0.592592592592593,-0.59375,-0.5625,-0.798076923076923,-0.524305555555556,-0.5625,-0.96875,-0.71875,-0.590460526315789,-0.68125,-0.71875,-0.666666666666667,-0.46875,-0.875,-0.65625,-0.78125,-0.683035714285714,0.502083333333333,-0.571428571428571,0.59375,-0.580882352941176,0.53125,-0.8125,-0.666666666666667,-0.834821428571429,-0.875,-0.8,0.5,-0.475,-0.75,-0.4375,-0.625,-0.8125,-0.875,-0.798076923076923,-0.590460526315789,-0.475,-0.3125,0.625,0.76875,0.9375,0.635416666666667,0.664402173913043,0.336309523809524,-0.53125,0.726973684210526,0.84375,0.639705882352941,0.684027777777778,0.60875,0.64375,-0.761029411764706,0.8125,1,0.729166666666667,0.279411764705882,-0.55625,0.71875,0.8125,0.78125,-0.34375,0.772727272727273,0.525,0.894736842105263,0.625,0.772727272727273,0.46875,-0.8,0.493055555555556,0.540178571428571,-0.4375,0.766826923076923,-0.338815789473684,0.944444444444444,-0.34375,0.690340909090909,0.65625,0.375
